"filename", "language", "JSON", "pip requirements", "Python", "HTML", "JavaScript", "SCSS", "CSS", "Ini", "comment", "blank", "total"
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\nav.html", "HTML", 0, 0, 0, 44, 0, 0, 0, 0, 1, 1, 46
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\index.html", "HTML", 0, 0, 0, 100, 0, 0, 0, 0, 0, 2, 102
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\login.html", "HTML", 0, 0, 0, 48, 0, 0, 0, 0, 4, 4, 56
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\pricing.html", "HTML", 0, 0, 0, 80, 0, 0, 0, 0, 3, 5, 88
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\profile.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 4, 6, 48
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\register.html", "HTML", 0, 0, 0, 43, 0, 0, 0, 0, 7, 7, 57
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\templates.html", "HTML", 0, 0, 0, 51, 0, 0, 0, 0, 2, 3, 56
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\upload.html", "HTML", 0, 0, 0, 40, 0, 0, 0, 0, 4, 5, 49
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\admin.py", "Python", 0, 0, 113, 0, 0, 0, 0, 0, 16, 33, 162
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\auth.py", "Python", 0, 0, 69, 0, 0, 0, 0, 0, 5, 16, 90
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\create.py", "Python", 0, 0, 218, 0, 0, 0, 0, 0, 38, 61, 317
"c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\views.py", "Python", 0, 0, 261, 0, 0, 0, 0, 0, 37, 74, 372
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 38, 0, 13, 51
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\env.py", "Python", 0, 0, 66, 0, 0, 0, 0, 0, 17, 31, 114
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\0ad873169dec_.py", "Python", 0, 0, 42, 0, 0, 0, 0, 0, 5, 11, 58
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\4ef9c22f2f72_.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 5, 11, 33
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\57b5db34be92_.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 5, 11, 47
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\76abb0cd4f41_.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 5, 11, 33
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\7a83f383a863_.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 5, 11, 53
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\7e8dbd613248_.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 5, 11, 33
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\bf7f812e67a0_.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 5, 11, 33
"c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\d6b90f2b4da0_.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 5, 9, 40
"c:\Users\joshu\OneDrive\Desktop\simplycomply\package.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\joshu\OneDrive\Desktop\simplycomply\requirements.txt", "pip requirements", 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"Total", "-", 21, 29, 1251, 1089, 95, 1381, 1265, 38, 268, 879, 6316
