Date : 2025-01-09 10:18:22
Directory : c:\Users\joshu\OneDrive\Desktop\simplycomply
Total : 63 files,  5169 codes, 268 comments, 879 blanks, all 6316 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\create\create_checklist.html  | HTML             |         52 |          0 |         11 |         63 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\create\create_docs.html       | HTML             |          0 |          0 |          1 |          1 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\create\create_incident.html   | HTML             |          0 |          0 |          1 |          1 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\create_restaurant.html        | HTML             |         25 |          0 |          1 |         26 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\dashboard.html                | HTML             |         40 |          1 |          4 |         45 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\events.html          | HTML             |         29 |          0 |          1 |         30 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\footer.html          | HTML             |         24 |          0 |          1 |         25 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\generate_report.html | HTML             |         38 |          0 |          4 |         42 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\includes\nav.html             | HTML             |         44 |          1 |          1 |         46 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\index.html                    | HTML             |        100 |          0 |          2 |        102 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\login.html                    | HTML             |         48 |          4 |          4 |         56 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\pricing.html                  | HTML             |         80 |          3 |          5 |         88 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\profile.html                  | HTML             |         38 |          4 |          6 |         48 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\register.html                 | HTML             |         43 |          7 |          7 |         57 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\templates.html                | HTML             |         51 |          2 |          3 |         56 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\templates\upload.html                   | HTML             |         40 |          4 |          5 |         49 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\admin.py                          | Python           |        113 |         16 |         33 |        162 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\auth.py                           | Python           |         69 |          5 |         16 |         90 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\create.py                         | Python           |        218 |         38 |         61 |        317 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\core\views\views.py                          | Python           |        261 |         37 |         74 |        372 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\alembic.ini                       | Ini              |         38 |          0 |         13 |         51 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\env.py                            | Python           |         66 |         17 |         31 |        114 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\0ad873169dec_.py         | Python           |         42 |          5 |         11 |         58 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\4ef9c22f2f72_.py         | Python           |         17 |          5 |         11 |         33 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\57b5db34be92_.py         | Python           |         31 |          5 |         11 |         47 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\76abb0cd4f41_.py         | Python           |         17 |          5 |         11 |         33 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\7a83f383a863_.py         | Python           |         37 |          5 |         11 |         53 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\7e8dbd613248_.py         | Python           |         17 |          5 |         11 |         33 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\bf7f812e67a0_.py         | Python           |         17 |          5 |         11 |         33 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\migrations\versions\d6b90f2b4da0_.py         | Python           |         26 |          5 |          9 |         40 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\package.json                                 | JSON             |         21 |          0 |          3 |         24 |
| c:\Users\joshu\OneDrive\Desktop\simplycomply\requirements.txt                             | pip requirements |         29 |          0 |          1 |         30 |
| Total                                                                                     |                  |      5,169 |        268 |        879 |      6,316 |
+-------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
